Episode, Reward, Steps, Loss, Entropy
418.0000,35.0000,35.0000,6.0822,0.6412
419.0000,13.0000,13.0000,13.4323,0.5930
420.0000,18.0000,18.0000,9.5480,0.5990
421.0000,25.0000,25.0000,7.7959,0.6464
422.0000,22.0000,22.0000,8.3523,0.6537
423.0000,64.0000,64.0000,3.9078,0.6720
424.0000,43.0000,43.0000,4.2806,0.6702
425.0000,56.0000,56.0000,5.9735,0.6719
426.0000,67.0000,67.0000,3.9352,0.6541
427.0000,28.0000,28.0000,7.9058,0.6505
428.0000,44.0000,44.0000,5.0955,0.6626
429.0000,22.0000,22.0000,9.8498,0.6431
430.0000,36.0000,36.0000,6.5404,0.6572
431.0000,25.0000,25.0000,8.5222,0.6507
432.0000,11.0000,11.0000,18.7553,0.6093
433.0000,35.0000,35.0000,6.1365,0.6569
434.0000,19.0000,19.0000,10.8862,0.6196
435.0000,11.0000,11.0000,17.1961,0.6130
436.0000,29.0000,29.0000,7.3916,0.6523
437.0000,16.0000,16.0000,12.2972,0.6651
438.0000,41.0000,41.0000,5.6686,0.6267
439.0000,22.0000,22.0000,9.1952,0.6263
440.0000,26.0000,26.0000,7.6059,0.6459
441.0000,19.0000,19.0000,10.0869,0.6512
442.0000,58.0000,58.0000,4.0403,0.6313
443.0000,14.0000,14.0000,13.1542,0.6634
444.0000,17.0000,17.0000,10.8389,0.6326
445.0000,26.0000,26.0000,6.8568,0.6497
446.0000,25.0000,25.0000,7.2235,0.6540
447.0000,22.0000,22.0000,8.4092,0.6263
448.0000,15.0000,15.0000,11.3052,0.6594
449.0000,31.0000,31.0000,5.9777,0.6235
450.0000,21.0000,21.0000,8.4292,0.6450
451.0000,30.0000,30.0000,6.0628,0.6271
452.0000,10.0000,10.0000,14.3367,0.5934
453.0000,20.0000,20.0000,7.9763,0.6528
454.0000,17.0000,17.0000,9.1313,0.6359
455.0000,10.0000,10.0000,15.7883,0.6519
456.0000,15.0000,15.0000,9.2601,0.6551
457.0000,16.0000,16.0000,9.3573,0.6362
458.0000,17.0000,17.0000,8.2528,0.6181
459.0000,16.0000,16.0000,8.3642,0.6555
460.0000,19.0000,19.0000,8.9352,0.6428
461.0000,26.0000,26.0000,5.2226,0.6231
462.0000,17.0000,17.0000,8.0781,0.6355
463.0000,19.0000,19.0000,6.9343,0.6176
464.0000,19.0000,19.0000,5.8683,0.6347
465.0000,23.0000,23.0000,5.8216,0.6357
466.0000,20.0000,20.0000,6.4588,0.6340
467.0000,30.0000,30.0000,3.0946,0.5594
468.0000,19.0000,19.0000,5.7395,0.6395
469.0000,10.0000,10.0000,8.9807,0.6331
470.0000,11.0000,11.0000,9.3441,0.6345
471.0000,17.0000,17.0000,7.5259,0.6630
472.0000,22.0000,22.0000,6.2502,0.6288
473.0000,21.0000,21.0000,4.6649,0.6218
474.0000,12.0000,12.0000,12.1750,0.6593
